Rhythm,Original IOItallestBin,Velocity IOItallestBin
0_7_pop-groove7_138_beat_4-4_bar_1_reduced_constant,3.333333333333334,3.333333333333334
1_24_rock_90_beat_4-4_bar_26_reduced_constant,6.071428571428571,6.071428571428571
2_10_rock_60_beat_4-4_bar_2_reduced_constant,6.571428571428571,6.571428571428571
3_106_hiphop_70_beat_4-4_bar_3_reduced_constant,6.82051282051282,6.82051282051282
4_34_punk_128_beat_4-4_bar_2_reduced_constant,5.5,5.5
5_5_jazz-linear_128_beat_4-4_bar_42_reduced_constant,11.0,11.0
6_10_rock-folk_90_beat_4-4_bar_55_reduced_constant,10.0,10.0
7_18_rock_120_beat_4-4_bar_11_reduced_constant,12.5,12.5
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced_constant,6.892857142857142,6.892857142857142
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced_constant,12.0,12.0
