Rhythm,Original IOItallestBin,Velocity IOItallestBin
0_7_pop-groove7_138_beat_4-4_bar_1_reduced,3.333333333333334,3.333333333333334
1_24_rock_90_beat_4-4_bar_26_reduced,6.071428571428571,6.071428571428571
2_10_rock_60_beat_4-4_bar_2_reduced,6.571428571428571,6.571428571428571
3_106_hiphop_70_beat_4-4_bar_3_reduced,6.82051282051282,6.82051282051282
4_34_punk_128_beat_4-4_bar_2_reduced,5.5,5.5
5_5_jazz-linear_128_beat_4-4_bar_42_reduced,11.0,11.0
6_10_rock-folk_90_beat_4-4_bar_55_reduced,10.0,10.0
7_18_rock_120_beat_4-4_bar_11_reduced,12.5,12.5
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced,6.892857142857142,6.892857142857142
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced,12.0,12.0
