Rhythm,Original LHL,Velocity LHL
0_7_pop-groove7_138_beat_4-4_bar_1_reduced,0.0,0.0
1_24_rock_90_beat_4-4_bar_26_reduced,14.0,12.78740157480315
2_10_rock_60_beat_4-4_bar_2_reduced,21.0,12.885826771653543
3_106_hiphop_70_beat_4-4_bar_3_reduced,12.0,10.086614173228348
4_34_punk_128_beat_4-4_bar_2_reduced,14.0,10.228346456692915
5_5_jazz-linear_128_beat_4-4_bar_42_reduced,49.0,32.0748031496063
6_10_rock-folk_90_beat_4-4_bar_55_reduced,24.0,18.992125984251967
7_18_rock_120_beat_4-4_bar_11_reduced,70.0,46.153543307086615
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced,26.0,20.881889763779526
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced,52.0,38.42125984251969
