Rhythm,Original OffBeatness,Velocity OffBeatness
0_7_pop-groove7_138_beat_4-4_bar_1_reduced_constant,0,0.0
1_24_rock_90_beat_4-4_bar_26_reduced_constant,2,1.5748031496062993
2_10_rock_60_beat_4-4_bar_2_reduced_constant,19,14.960629921259844
3_106_hiphop_70_beat_4-4_bar_3_reduced_constant,17,13.385826771653544
4_34_punk_128_beat_4-4_bar_2_reduced_constant,8,6.299212598425198
5_5_jazz-linear_128_beat_4-4_bar_42_reduced_constant,12,9.448818897637796
6_10_rock-folk_90_beat_4-4_bar_55_reduced_constant,9,7.086614173228347
7_18_rock_120_beat_4-4_bar_11_reduced_constant,8,6.299212598425198
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced_constant,24,18.897637795275593
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced_constant,21,16.53543307086614
