Rhythm,Original OffBeatness,Velocity OffBeatness
0_7_pop-groove7_138_beat_4-4_bar_1_reduced,0,0.0
1_24_rock_90_beat_4-4_bar_26_reduced,2,0.9133858267716536
2_10_rock_60_beat_4-4_bar_2_reduced,19,5.606299212598425
3_106_hiphop_70_beat_4-4_bar_3_reduced,17,4.346456692913385
4_34_punk_128_beat_4-4_bar_2_reduced,8,2.2913385826771653
5_5_jazz-linear_128_beat_4-4_bar_42_reduced,12,5.68503937007874
6_10_rock-folk_90_beat_4-4_bar_55_reduced,9,3.519685039370079
7_18_rock_120_beat_4-4_bar_11_reduced,8,4.700787401574803
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced,24,9.984251968503937
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced,21,11.047244094488189
