Rhythm,Original Pressing,Velocity Pressing
0_7_pop-groove7_138_beat_4-4_bar_1_reduced_constant,7.5,7.5
1_24_rock_90_beat_4-4_bar_26_reduced_constant,3.0,3.0
2_10_rock_60_beat_4-4_bar_2_reduced_constant,17.5,17.5
3_106_hiphop_70_beat_4-4_bar_3_reduced_constant,26.5,26.5
4_34_punk_128_beat_4-4_bar_2_reduced_constant,20.0,20.0
5_5_jazz-linear_128_beat_4-4_bar_42_reduced_constant,35.0,35.0
6_10_rock-folk_90_beat_4-4_bar_55_reduced_constant,30.25,30.25
7_18_rock_120_beat_4-4_bar_11_reduced_constant,35.25,35.25
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced_constant,44.25,44.25
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced_constant,66.75,66.75
