Rhythm,Original Toussaint,Velocity Toussaint
0_7_pop-groove7_138_beat_4-4_bar_1_reduced_constant,0.0,0.0
1_24_rock_90_beat_4-4_bar_26_reduced_constant,6.0,4.724409448818898
2_10_rock_60_beat_4-4_bar_2_reduced_constant,9.0,7.086614173228332
3_106_hiphop_70_beat_4-4_bar_3_reduced_constant,13.0,10.236220472440936
4_34_punk_128_beat_4-4_bar_2_reduced_constant,16.0,12.598425196850389
5_5_jazz-linear_128_beat_4-4_bar_42_reduced_constant,21.0,16.535433070866134
6_10_rock-folk_90_beat_4-4_bar_55_reduced_constant,25.0,19.685039370078744
7_18_rock_120_beat_4-4_bar_11_reduced_constant,29.0,22.83464566929134
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced_constant,34.0,26.77165354330708
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced_constant,42.0,33.07086614173229
