Rhythm,Velocity Score,Original Score
100_funk-rock_92_fill_4-4_bar_1,18.685039370078737,20.0
100_hiphop_70_fill_4-4_bar_1,24.3464566929134,23.0
100_neworleans-secondline_94_beat_4-4_bar_1,11.275590551181102,22.0
100_neworleans-secondline_94_beat_4-4_bar_10,12.834645669291337,14.0
100_neworleans-secondline_94_beat_4-4_bar_11,14.244094488188985,14.0
100_neworleans-secondline_94_beat_4-4_bar_12,13.992125984251967,15.0
100_neworleans-secondline_94_beat_4-4_bar_13,20.05511811023622,24.0
100_neworleans-secondline_94_beat_4-4_bar_14,17.102362204724407,20.0
100_neworleans-secondline_94_beat_4-4_bar_15,21.125984251968504,25.0
100_neworleans-secondline_94_beat_4-4_bar_16,13.338582677165359,14.0
100_neworleans-secondline_94_beat_4-4_bar_17,29.574803149606296,39.0
100_neworleans-secondline_94_beat_4-4_bar_18,20.31496062992126,27.0
100_neworleans-secondline_94_beat_4-4_bar_19,18.094488188976378,25.0
100_neworleans-secondline_94_beat_4-4_bar_2,11.58267716535433,14.0
100_neworleans-secondline_94_beat_4-4_bar_20,14.559055118110233,19.0
100_neworleans-secondline_94_beat_4-4_bar_21,19.070866141732285,26.0
100_neworleans-secondline_94_beat_4-4_bar_22,17.574803149606304,25.0
100_neworleans-secondline_94_beat_4-4_bar_23,20.228346456692908,24.0
100_neworleans-secondline_94_beat_4-4_bar_24,17.92913385826771,23.0
100_neworleans-secondline_94_beat_4-4_bar_25,18.86614173228347,25.0
100_neworleans-secondline_94_beat_4-4_bar_26,27.07086614173228,32.0
100_neworleans-secondline_94_beat_4-4_bar_27,20.1496062992126,28.0
100_neworleans-secondline_94_beat_4-4_bar_28,20.787401574803148,26.0
100_neworleans-secondline_94_beat_4-4_bar_29,18.47244094488189,25.0
100_neworleans-secondline_94_beat_4-4_bar_3,12.527559055118108,14.0
100_neworleans-secondline_94_beat_4-4_bar_30,21.574803149606296,28.0
100_neworleans-secondline_94_beat_4-4_bar_31,18.11023622047244,26.0
100_neworleans-secondline_94_beat_4-4_bar_32,21.283464566929133,33.0
100_neworleans-secondline_94_beat_4-4_bar_33,14.346456692913385,22.0
100_neworleans-secondline_94_beat_4-4_bar_34,17.692913385826767,22.0
100_neworleans-secondline_94_beat_4-4_bar_35,17.456692913385822,22.0
100_neworleans-secondline_94_beat_4-4_bar_36,21.952755905511808,27.0
100_neworleans-secondline_94_beat_4-4_bar_37,27.511811023622045,33.0
100_neworleans-secondline_94_beat_4-4_bar_38,28.031496062992122,41.0
100_neworleans-secondline_94_beat_4-4_bar_39,24.598425196850403,29.0
100_neworleans-secondline_94_beat_4-4_bar_4,12.582677165354333,14.0
100_neworleans-secondline_94_beat_4-4_bar_40,21.401574803149604,25.0
100_neworleans-secondline_94_beat_4-4_bar_41,33.68503937007874,45.0
100_neworleans-secondline_94_beat_4-4_bar_42,21.811023622047248,27.0
100_neworleans-secondline_94_beat_4-4_bar_43,27.181102362204726,36.0
100_neworleans-secondline_94_beat_4-4_bar_44,23.370078740157474,29.0
100_neworleans-secondline_94_beat_4-4_bar_45,25.181102362204722,40.0
100_neworleans-secondline_94_beat_4-4_bar_46,27.842519685039363,36.0
100_neworleans-secondline_94_beat_4-4_bar_47,30.96850393700787,42.0
100_neworleans-secondline_94_beat_4-4_bar_48,27.724409448818893,36.0
100_neworleans-secondline_94_beat_4-4_bar_49,33.59055118110236,47.0
100_neworleans-secondline_94_beat_4-4_bar_5,16.299212598425203,18.0
100_neworleans-secondline_94_beat_4-4_bar_50,26.456692913385833,34.0
100_neworleans-secondline_94_beat_4-4_bar_51,26.661417322834644,40.0
100_neworleans-secondline_94_beat_4-4_bar_52,25.811023622047244,38.0
100_neworleans-secondline_94_beat_4-4_bar_53,24.72440944881889,35.0
100_neworleans-secondline_94_beat_4-4_bar_6,13.795275590551185,14.0
100_neworleans-secondline_94_beat_4-4_bar_7,13.259842519685039,14.0
100_neworleans-secondline_94_beat_4-4_bar_8,13.771653543307085,14.0
